id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,cat_id
BUSAPPSAVT,2020-12-05,2020-12-05,Business Applications for Vermont,2004-07-01,2020-07-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2020-10-14 11:02:41-05,1,2,"The core business applications series that correspond to a subset of all applications for an Employer Identification Number (EIN). Includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications outside of 50 states and DC or with no state‐county geocodes, applications with a NAICS sector code of 11 (agriculture, forestry, fishing and hunting) or 92 (public administration), and applications in certain industries (e.g. private households, civic and social organizations).",1-Production & Business Activity
BUSAPPSAWA,2020-12-05,2020-12-05,Business Applications for Washington,2004-07-01,2020-07-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2020-10-14 11:02:41-05,2,6,"The core business applications series that correspond to a subset of all applications for an Employer Identification Number (EIN). Includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications outside of 50 states and DC or with no state‐county geocodes, applications with a NAICS sector code of 11 (agriculture, forestry, fishing and hunting) or 92 (public administration), and applications in certain industries (e.g. private households, civic and social organizations).",1-Production & Business Activity
BUSAPPSAWI,2020-12-05,2020-12-05,Business Applications for Wisconsin,2004-07-01,2020-07-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2020-10-14 11:02:41-05,1,2,"The core business applications series that correspond to a subset of all applications for an Employer Identification Number (EIN). Includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications outside of 50 states and DC or with no state‐county geocodes, applications with a NAICS sector code of 11 (agriculture, forestry, fishing and hunting) or 92 (public administration), and applications in certain industries (e.g. private households, civic and social organizations).",1-Production & Business Activity
BUSAPPSAWV,2020-12-05,2020-12-05,Business Applications for West Virginia,2004-07-01,2020-07-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2020-10-14 11:02:41-05,1,1,"The core business applications series that correspond to a subset of all applications for an Employer Identification Number (EIN). Includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications outside of 50 states and DC or with no state‐county geocodes, applications with a NAICS sector code of 11 (agriculture, forestry, fishing and hunting) or 92 (public administration), and applications in certain industries (e.g. private households, civic and social organizations).",1-Production & Business Activity
BUSAPPSAWY,2020-12-05,2020-12-05,Business Applications for Wyoming,2004-07-01,2020-07-01,Quarterly,Q,Number,Number,Seasonally Adjusted,SA,2020-10-14 11:02:41-05,1,1,"The core business applications series that correspond to a subset of all applications for an Employer Identification Number (EIN). Includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications outside of 50 states and DC or with no state‐county geocodes, applications with a NAICS sector code of 11 (agriculture, forestry, fishing and hunting) or 92 (public administration), and applications in certain industries (e.g. private households, civic and social organizations).",1-Production & Business Activity
BUSAPPWNSAAK,2020-12-05,2020-12-05,Business Applications for Alaska,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAAKYY,2020-12-05,2020-12-05,Business Applications for Alaska,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:29-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAAL,2020-12-05,2020-12-05,Business Applications for Alabama,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAALYY,2020-12-05,2020-12-05,Business Applications for Alabama,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:29-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAAR,2020-12-05,2020-12-05,Business Applications for Arkansas,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAARYY,2020-12-05,2020-12-05,Business Applications for Arkansas,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:28-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAAZ,2020-12-05,2020-12-05,Business Applications for Arizona,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,6,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAAZYY,2020-12-05,2020-12-05,Business Applications for Arizona,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:28-06,1,6,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSACA,2020-12-05,2020-12-05,Business Applications for California,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,8,12,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSACAYY,2020-12-05,2020-12-05,Business Applications for California,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:28-06,1,12,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSACO,2020-12-05,2020-12-05,Business Applications for Colorado,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSACOYY,2020-12-05,2020-12-05,Business Applications for Colorado,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:28-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSACT,2020-12-05,2020-12-05,Business Applications for Connecticut,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSACTYY,2020-12-05,2020-12-05,Business Applications for Connecticut,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:28-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSADC,2020-12-05,2020-12-05,Business Applications for District of Columbia,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:53-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSADCYY,2020-12-05,2020-12-05,Business Applications for District of Columbia,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:28-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSADE,2020-12-05,2020-12-05,Business Applications for Delaware,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSADEYY,2020-12-05,2020-12-05,Business Applications for Delaware,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAFL,2020-12-05,2020-12-05,Business Applications for Florida,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,2,7,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAFLYY,2020-12-05,2020-12-05,Business Applications for Florida,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,1,7,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAGA,2020-12-05,2020-12-05,Business Applications for Georgia,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAGAYY,2020-12-05,2020-12-05,Business Applications for Georgia,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAHI,2020-12-05,2020-12-05,Business Applications for Hawaii,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,2,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAHIYY,2020-12-05,2020-12-05,Business Applications for Hawaii,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAIA,2020-12-05,2020-12-05,Business Applications for Iowa,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,2,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAIAYY,2020-12-05,2020-12-05,Business Applications for Iowa,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,0,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAID,2020-12-05,2020-12-05,Business Applications for Idaho,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAIDYY,2020-12-05,2020-12-05,Business Applications for Idaho,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAIL,2020-12-05,2020-12-05,Business Applications for Illinois,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,3,3,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAILYY,2020-12-05,2020-12-05,Business Applications for Illinois,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:27-06,1,3,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAIN,2020-12-05,2020-12-05,Business Applications for Indiana,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:54-06,2,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAINYY,2020-12-05,2020-12-05,Business Applications for Indiana,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:26-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAKS,2020-12-05,2020-12-05,Business Applications for Kansas,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:55-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAKSYY,2020-12-05,2020-12-05,Business Applications for Kansas,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:26-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAKY,2020-12-05,2020-12-05,Business Applications for Kentucky,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:55-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAKYYY,2020-12-05,2020-12-05,Business Applications for Kentucky,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:26-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSALA,2020-12-05,2020-12-05,Business Applications for Louisiana,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:55-06,2,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSALAYY,2020-12-05,2020-12-05,Business Applications for Louisiana,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:26-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAMA,2020-12-05,2020-12-05,Business Applications for Massachusetts,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:55-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAMAYY,2020-12-05,2020-12-05,Business Applications for Massachusetts,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:26-06,1,2,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAMD,2020-12-05,2020-12-05,Business Applications for Maryland,2006-01-07,2020-11-28,"Weekly, Ending Saturday",W,Number,Number,Not Seasonally Adjusted,NSA,2020-12-03 11:02:55-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
BUSAPPWNSAMDYY,2020-12-05,2020-12-05,Business Applications for Maryland,2007-01-06,2020-11-28,"Weekly, Ending Saturday",W,Percent Change from Year Ago,% Chg. from Yr. Ago,Not Seasonally Adjusted,NSA,2020-12-03 11:02:26-06,1,1,"Business Applications (BA): The core business applications series that corresponds to a subset of all EIN applications. BA includes all applications for an EIN, except for applications for tax liens, estates, trusts, or certain financial filings, applications with no state-county geocodes, applications from certain agricultural, public entities, and applications in certain industries (e.g. private households, civic and social organizations).

See ""About the Data"" (https://www.census.gov/econ/bfs/about_the_data.html) for more details.",1-Production & Business Activity
